Codice,NumeroDiPiani,Proprieta,AnnoDiCostruzione,Costruzione,PercentualeUtilizzo,Uso,Posizione,CateneCordoli,Regione,Latitudine,Longitudine,Agibilita,Provincia,Comune
CASO_0027_00303,3 Piani,privato,Ante_1919,Con_telaio_in_cemento_armato,Meno_del_30,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.1906163431293,10.1899957197639,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0027_00300,4 Piani,privato,Dal_1946_al_1961,Strutture_in_muratura,Oltre_65,Abitativo,2_Interno,Senza catene e cordoli,Toscana,44.1907050510572,10.1901226312616,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0027_00228,2 Piani,privato,Ante_1919,Strutture_in_muratura,Meno_del_30,Abitativo,DiAngolo,Con catene e cordoli,Toscana,44.1921504370554,10.1896511944068,B,MASSA-CARRARA,Casola in Lunigiana
CASO_0027_00302,3 Piani,privato,Ante_1919,Strutture_in_muratura,Non_utilizzato,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.1907037479211,10.1902477318921,B,MASSA-CARRARA,Casola in Lunigiana
CASO_0027_00221,2 Piani,privato,Ante_1919,Strutture_in_muratura,Tra_30_e_65,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.1922417504896,10.1895279009298,C,MASSA-CARRARA,Casola in Lunigiana
CASO_0027_00311,3 Piani,privato,Ante_1919,Strutture_in_muratura,Oltre_65,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.1904402294097,10.1896167978171,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0027_00427,3 Piani,privato,Dal_1972_al_1981,Strutture_in_muratura,Non_utilizzato,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.1905276350548,10.1898688086469,F,MASSA-CARRARA,Casola in Lunigiana
CASO_0017_00455,4 Piani,privato,Post_2001,Strutture_in_muratura,Meno_del_30,Abitativo,2_Interno,Con catene e cordoli,Toscana,44.2178971622447,10.1984315689067,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0017_00171,4 Piani,privato,Dal_1972_al_1981,Strutture_in_muratura,Tra_30_e_65,Abitativo,DiAngolo,Senza catene e cordoli,Toscana,44.2187138166342,10.1978222003527,C,MASSA-CARRARA,Casola in Lunigiana
CASO_0015_359+,2 Piani,privato,Dal_1946_al_1961,Con_telaio_in_cemento_armato,Meno_del_30,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.2108606235338,10.1825175305955,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0015_00402,3 Piani,privato,Post_2001,Con_telaio_in_cemento_armato,Oltre_65,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.2105005801172,10.1825103276882,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0015_344+,4 Piani,privato,Dal_1972_al_1981,Strutture_in_muratura,Meno_del_30,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.2113942107625,10.1831540589994,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0015_376+,3 Piani,privato,Dal_1991_al_2001,Strutture_in_muratura,Oltre_65,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.2106793065646,10.182639072376,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0015_358+,4 Piani,privato,Dal_1982_al_1991,Strutture_in_muratura,Oltre_65,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.2108606235338,10.1825175305955,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0015_00402,3 Piani,privato,Dal_1982_al_1991,Strutture_in_muratura,Oltre_65,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.2105005801172,10.1825103276882,B,MASSA-CARRARA,Casola in Lunigiana
CASO_0015_00730,3 Piani,privato,Ante_1919,Strutture_in_muratura,Meno_del_30,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.2108502575206,10.1835186794159,C,MASSA-CARRARA,Casola in Lunigiana
CASO_0015_00425,2 Piani,privato,Ante_1919,Strutture_in_muratura,Meno_del_30,Abitativo,2_Interno,Senza catene e cordoli,Toscana,44.2109298935213,10.1845216314947,C,MASSA-CARRARA,Casola in Lunigiana
CASO_0015_00418,2 Piani,privato,Dal_1972_al_1981,Strutture_in_muratura,Meno_del_30,Abitativo,DiAngolo,Senza catene e cordoli,Toscana,44.2113695636762,10.1855318074906,C,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_789+,2 Piani,privato,Post_2001,Strutture_in_muratura,Meno_del_30,Abitativo,2_Interno,Senza catene e cordoli,Toscana,44.2007436463991,10.1770589639941,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_226+,4 Piani,privato,Dal_1972_al_1981,Con_telaio_in_cemento_armato,Oltre_65,Abitativo,2_Interno,Con catene e cordoli,Toscana,44.2011872555474,10.1776935400691,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_428+,3 Piani,privato,Dal_1946_al_1961,Con_telaio_in_cemento_armato,Meno_del_30,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.1998525537502,10.1761652023022,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_00460,2 Piani,privato,Dal_1919_al_1945,Strutture_in_muratura,Meno_del_30,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.1995863833759,10.1757844710134,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_00465,2 Piani,privato,Dal_1946_al_1961,Strutture_in_muratura,Oltre_65,Abitativo,DiEstremita,Con catene e cordoli,Toscana,44.1994937967224,10.176032920981,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0035_00625,2 Piani,privato,Ante_1919,Strutture_in_muratura,Oltre_65,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.1736678927332,10.1835254483725,B,MASSA-CARRARA,Casola in Lunigiana
CASO_0035_00572,2 Piani,privato,Ante_1919,Strutture_in_muratura,Meno_del_30,Abitativo,DiAngolo,Senza catene e cordoli,Toscana,44.1743070375411,10.182662584278,C,MASSA-CARRARA,Casola in Lunigiana
CASO_0035_00639,2 Piani,privato,Dal_1972_al_1981,Strutture_in_muratura,Oltre_65,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.1732165401832,10.1836415127182,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0035_00573,2 Piani,privato,Dal_1919_al_1945,Strutture_in_muratura,Oltre_65,Abitativo,DiEstremita,Con catene e cordoli,Toscana,44.1743957543717,10.1827894494399,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0035_01000,2 Piani,privato,Dal_1946_al_1961,Strutture_in_muratura,Oltre_65,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.1734878699171,10.1835218485031,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0035_00610,2 Piani,privato,Ante_1919,Strutture_in_muratura,Oltre_65,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.1739418127183,10.1831556517567,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0035_00482,3 Piani,privato,Dal_1946_al_1961,Strutture_in_muratura,Oltre_65,Abitativo,DiEstremita,Con catene e cordoli,Toscana,44.1749474694875,10.1816746338534,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0035_00562,2 Piani,privato,Dal_1946_al_1961,Strutture_in_muratura,Oltre_65,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.1744883548474,10.1825411149507,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0035_00600,3 Piani,privato,Dal_1919_al_1945,Strutture_in_muratura,Meno_del_30,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.1737630848624,10.1830269878472,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0035_00597,2 Piani,privato,Dal_1946_al_1961,Strutture_in_muratura,Oltre_65,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.1741205404152,10.183284316452,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0035_486+,3 Piani,privato,Dal_1962_al_1971,Strutture_in_muratura,Meno_del_30,Abitativo,2_Interno,Con catene e cordoli,Toscana,44.174944882306,10.1819247692349,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0035_481+,4 Piani,privato,Dal_1962_al_1971,Strutture_in_muratura,Meno_del_30,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.1748587514217,10.1815477691363,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0035_476+,4 Piani,privato,Dal_1962_al_1971,Strutture_in_muratura,Oltre_65,Abitativo,2_Interno,Con catene e cordoli,Toscana,44.1750387743226,10.1815513631722,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0035_997+,2 Piani,privato,Dal_1919_al_1945,Strutture_in_muratura,Oltre_65,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.1749474694875,10.1816746338534,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0035_476+,4 Piani,privato,Dal_1991_al_2001,Strutture_in_muratura,Meno_del_30,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.1750387743226,10.1815513631722,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0035_00484,2 Piani,privato,Dal_1919_al_1945,Strutture_in_muratura,Abbandonato,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.1750361874068,10.1818014989507,F,MASSA-CARRARA,Casola in Lunigiana
CASO_0035_00485,3 Piani,privato,Ante_1919,Strutture_in_muratura,Oltre_65,Deposito,DiAngolo,Senza catene e cordoli,Toscana,44.174944882306,10.1819247692349,F,MASSA-CARRARA,Casola in Lunigiana
CASO_0035_00478,2 Piani,privato,Ante_1919,Strutture_in_muratura,Abbandonato,Deposito,1_Isolato,Con catene e cordoli,Toscana,44.1750374809332,10.1816764310656,F,MASSA-CARRARA,Casola in Lunigiana
CASO_0028_00488,2 Piani,privato,Post_2001,Strutture_in_muratura,Meno_del_30,Abitativo,2_Interno,Senza catene e cordoli,Toscana,44.1821401979848,10.1472882553561,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0028_244+,4 Piani,privato,Dal_1962_al_1971,Strutture_in_muratura,Meno_del_30,Abitativo,DiEstremita,Con catene e cordoli,Toscana,44.18250150362,10.1471701515812,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0027_00003,2 Piani,privato,Ante_1919,Strutture_in_muratura,Meno_del_30,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.1980510408529,10.1762545131478,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_01024,3 Piani,privato,Dal_1919_al_1945,Strutture_in_muratura,Oltre_65,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.201810883295,10.1783317132532,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0027_261+,2 Piani,privato,Dal_1946_al_1961,Con_telaio_in_cemento_armato,Meno_del_30,Abitativo,2_Interno,Senza catene e cordoli,Toscana,44.1911498922019,10.190632092911,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0027_97+,3 Piani,privato,Dal_1946_al_1961,Strutture_in_muratura,Meno_del_30,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.1951572188646,10.1862078599261,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_01089,2 Piani,privato,Dal_1919_al_1945,Strutture_in_muratura,Oltre_65,Abitativo,2_Interno,Senza catene e cordoli,Toscana,44.2015550359911,10.1769499663304,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0029_00549,2 Piani,privato,Ante_1919,Strutture_in_muratura,Oltre_65,Abitativo,DiEstremita,Con catene e cordoli,Toscana,44.18223196895,10.1560476629854,B,MASSA-CARRARA,Casola in Lunigiana
CASO_0028_00245,2 Piani,privato,Dal_1919_al_1945,Strutture_in_muratura,Meno_del_30,Abitativo,2_Interno,Senza catene e cordoli,Toscana,44.1823202228469,10.1472917460512,C,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_00450,2 Piani,privato,Ante_1919,Strutture_in_muratura,Meno_del_30,Abitativo,DiAngolo,Senza catene e cordoli,Toscana,44.199502808243,10.1751570817146,C,MASSA-CARRARA,Casola in Lunigiana
CASO_0027_00422,2 Piani,privato,Ante_1919,Strutture_in_muratura,Meno_del_30,Abitativo,DiEstremita,Con catene e cordoli,Toscana,44.1911498922019,10.190632092911,C,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_00468,4 Piani,privato,Dal_1972_al_1981,Strutture_in_muratura,Meno_del_30,Abitativo,DiAngolo,Senza catene e cordoli,Toscana,44.1996854042814,10.1749104187539,C,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_00528,3 Piani,privato,Ante_1919,Strutture_in_muratura,Oltre_65,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.1989678869315,10.1746458737207,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_00529,3 Piani,privato,Ante_1919,Strutture_in_muratura,Meno_del_30,Abitativo,DiEstremita,Con catene e cordoli,Toscana,44.1990553253259,10.1748978997329,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0027_00221,2 Piani,privato,Ante_1919,Strutture_in_muratura,Meno_del_30,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.1922417504896,10.1895279009298,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0027_00262,2 Piani,privato,Dal_1946_al_1961,Strutture_in_muratura,Oltre_65,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.1910598813028,10.1906302810585,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_00532,3 Piani,privato,Ante_1919,Strutture_in_muratura,Oltre_65,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.1989691731715,10.1745207549012,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_01084,3 Piani,privato,Ante_1919,Strutture_in_muratura,Oltre_65,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.199237920807,10.174651237798,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_00523,2 Piani,privato,Dal_1946_al_1961,Strutture_in_muratura,Oltre_65,Abitativo,DiEstremita,Con catene e cordoli,Toscana,44.1991414762218,10.1752750456403,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_472+,3 Piani,privato,Dal_1946_al_1961,Strutture_in_muratura,Meno_del_30,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.1996841175983,10.1750355390716,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_396+,2 Piani,privato,Dal_1991_al_2001,Strutture_in_muratura,Meno_del_30,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.2002113105851,10.1762974852718,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_508+,2 Piani,privato,Dal_1919_al_1945,Strutture_in_muratura,Oltre_65,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.1991491957646,10.1745243305636,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_406+,2 Piani,privato,Dal_1919_al_1945,Strutture_in_muratura,Oltre_65,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.2002138866027,10.1760472425099,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_455+,3 Piani,privato,Ante_1919,Strutture_in_muratura,Oltre_65,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.1996789694959,10.1755360202591,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_456+,3 Piani,privato,Post_2001,Strutture_in_muratura,Oltre_65,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.1997664058679,10.1757880506006,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_00496,2 Piani,privato,Ante_1919,Con_telaio_in_acciaio,Oltre_65,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.1993266457029,10.1747781454132,B,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_00503,2 Piani,privato,Dal_1919_al_1945,Strutture_in_muratura,Oltre_65,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.1994076483709,10.1756557717631,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_304+,4 Piani,privato,Post_2001,Con_telaio_in_cemento_armato,Meno_del_30,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.2004929321135,10.1751767592928,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_413+,4 Piani,privato,Dal_1972_al_1981,Strutture_in_muratura,Meno_del_30,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.200220324249,10.1754216354592,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_347+,2 Piani,privato,Dal_1972_al_1981,Strutture_in_muratura,Meno_del_30,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.1997805609332,10.174411725103,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0035_993+,2 Piani,privato,Dal_1919_al_1945,Strutture_in_muratura,Oltre_65,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.1743018583634,10.183162849415,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0035_00484,3 Piani,privato,Ante_1919,Strutture_in_muratura,Oltre_65,Abitativo,DiAngolo,Senza catene e cordoli,Toscana,44.1750361874068,10.1818014989507,B,MASSA-CARRARA,Casola in Lunigiana
CASO_0035_00638,3 Piani,privato,Ante_1919,Strutture_in_muratura,Oltre_65,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.1733039601761,10.1838934410814,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0035_00592,3 Piani,privato,Ante_1919,Strutture_in_muratura,Oltre_65,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.17421314195,10.1830359839063,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0035_00597,2 Piani,privato,Dal_1919_al_1945,Strutture_in_muratura,Oltre_65,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.1741205404152,10.183284316452,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0010_99+,2 Piani,privato,Dal_1962_al_1971,Strutture_in_muratura,Meno_del_30,Abitativo,2_Interno,Con catene e cordoli,Toscana,44.2242287732977,10.1782779408438,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0010_95+,4 Piani,privato,Dal_1982_al_1991,Strutture_in_muratura,Oltre_65,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.2243174931359,10.1784049083016,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0010_99+,4 Piani,privato,Post_2001,Strutture_in_muratura,Meno_del_30,Abitativo,1_Isolato,Con catene e cordoli,Toscana,44.2242287732977,10.1782779408438,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0010_339+,4 Piani,privato,Ante_1919,Strutture_in_muratura,Oltre_65,Abitativo,DiEstremita,Con catene e cordoli,Toscana,44.2236938708765,10.1777664861882,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0015_135+,2 Piani,privato,Dal_1946_al_1961,Strutture_in_muratura,Meno_del_30,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.2153300350258,10.1856112517619,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0015_219+,4 Piani,privato,Dal_1946_al_1961,Strutture_in_muratura,Oltre_65,Abitativo,2_Interno,Senza catene e cordoli,Toscana,44.2143438127935,10.185215936533,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0015_219+,4 Piani,privato,Ante_1919,Strutture_in_muratura,Oltre_65,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.2143438127935,10.185215936533,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0015_210+,3 Piani,privato,Dal_1946_al_1961,Strutture_in_muratura,Meno_del_30,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.2143438127935,10.185215936533,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0015_204+,4 Piani,privato,Post_2001,Strutture_in_muratura,Meno_del_30,Abitativo,2_Interno,Con catene e cordoli,Toscana,44.2142576961746,10.1848386793271,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0015_534+,4 Piani,privato,Dal_1919_al_1945,Strutture_in_muratura,Oltre_65,Abitativo,2_Interno,Senza catene e cordoli,Toscana,44.2144364197145,10.1849674394309,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0015_00219,3 Piani,privato,Ante_1919,Strutture_in_muratura,Oltre_65,Abitativo,2_Interno,Con catene e cordoli,Toscana,44.2143438127935,10.185215936533,B,MASSA-CARRARA,Casola in Lunigiana
CASO_0015_00213,2 Piani,privato,Ante_1919,Strutture_in_muratura,Oltre_65,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.2142551002515,10.1850889807606,B,MASSA-CARRARA,Casola in Lunigiana
CASO_0015_00208,3 Piani,privato,Dal_1982_al_1991,Strutture_in_muratura,Oltre_65,Abitativo,DiEstremita,Con catene e cordoli,Toscana,44.2144351216763,10.1850925905245,B,MASSA-CARRARA,Casola in Lunigiana
CASO_0015_00132,3 Piani,privato,Ante_1919,Strutture_in_muratura,Oltre_65,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.2155074587011,10.1858651699203,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0015_00211,3 Piani,privato,Dal_1919_al_1945,Strutture_in_muratura,Oltre_65,Abitativo,DiEstremita,Con catene e cordoli,Toscana,44.2142551002515,10.1850889807606,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0014_00073,3 Piani,privato,Ante_1919,Strutture_in_muratura,Oltre_65,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.2178097831881,10.1721410999089,B,MASSA-CARRARA,Casola in Lunigiana
CASO_0014_00680,2 Piani,privato,Ante_1919,Strutture_in_muratura,Oltre_65,Abitativo,DiAngolo,Con catene e cordoli,Toscana,44.2160492968447,10.1682255848631,B,MASSA-CARRARA,Casola in Lunigiana
CASO_0014_00564,3 Piani,privato,Ante_1919,Strutture_in_muratura,Oltre_65,Abitativo,1_Isolato,Senza catene e cordoli,Toscana,44.2172966498614,10.1695020747801,E,MASSA-CARRARA,Casola in Lunigiana
CASO_0022_00238,2 Piani,privato,Dal_1972_al_1981,Con_telaio_in_cemento_armato,Oltre_65,Abitativo,DiEstremita,Senza catene e cordoli,Toscana,44.2013052692808,10.1484109469217,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_432+,3 Piani,privato,Dal_1919_al_1945,Strutture_in_muratura,Oltre_65,Abitativo,2_Interno,Con catene e cordoli,Toscana,44.1998538416744,10.1760400816787,A,MASSA-CARRARA,Casola in Lunigiana
CASO_0024_1055+,4 Piani,privato,Dal_1972_al_1981,Con_telaio_in_cemento_armato,Oltre_65,Abitativo,DiEstremita,Con catene e cordoli,Toscana,44.1996738192014,10.1760365013132,A,MASSA-CARRARA,Casola in Lunigiana
